"Id","Name","Contract","Month","Start","Amount","Candidates","CandidateIds"
"a03RB00001NswrEYAR","TC神鋼不動産株式会社_2025/07","a04RB00000kUAPzYAO","2025/07","2025-07-01","11000","0",""
"a03RB00001NswrFYAR","TC神鋼不動産株式会社_2025/08","a04RB00000kUAPzYAO","2025/08","2025-08-01","11000","0",""
"a03RB00001NswrGYAR","TC神鋼不動産株式会社_2025/09","a04RB00000kUAPzYAO","2025/09","2025-09-01","11000","0",""
"a03RB00001NswrHYAR","TC神鋼不動産株式会社_2025/10","a04RB00000kUAPzYAO","2025/10","2025-10-01","11000","0",""
"a03RB00001NswrIYAR","TC神鋼不動産株式会社_2025/11","a04RB00000kUAPzYAO","2025/11","2025-11-01","11000","0",""
"a03RB00001NswrJYAR","TC神鋼不動産株式会社_2025/12","a04RB00000kUAPzYAO","2025/12","2025-12-01","11000","0",""
"a03RB00001NswrKYAR","TC神鋼不動産株式会社_2026/01","a04RB00000kUAPzYAO","2026/01","2026-01-01","11000","0",""
"a03RB00001NswrLYAR","TC神鋼不動産株式会社_2026/02","a04RB00000kUAPzYAO","2026/02","2026-02-01","11000","0",""
"a03RB00001NswrMYAR","TC神鋼不動産株式会社_2026/03","a04RB00000kUAPzYAO","2026/03","2026-03-01","11000","0",""
"a03RB00001NswrNYAR","TC神鋼不動産株式会社_2026/04","a04RB00000kUAPzYAO","2026/04","2026-04-01","11000","0",""
"a03RB00001RcABeYAN","TC神鋼不動産株式会社_2026/07","a04RB00000kUAPzYAO","2026/07","2026-07-01","11000","0",""
"a03RB00001STmHqYAL","TC神鋼不動産株式会社_2026/08","a04RB00000kUAPzYAO","2026/08","2026-08-01","11000","0",""
